robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,0.1,0.1,,,
robot2,0.1,0.1,3.4,17.39,39.79
robot1,0.1,0.3249999999999999,2.31,58.98,42.4
robot2,0.1,0.3249999999999999,2.43,51.61,33.14
robot1,0.1,0.5499999999999999,1.9,83.29,40.79
robot2,0.1,0.5499999999999999,2.0,80.71,31.83
robot1,0.1,0.7749999999999999,1.8,85.18,41.25
robot2,0.1,0.7749999999999999,1.81,77.78,32.19
robot1,0.1,1.0,1.71,86.9,44.44
robot2,0.1,1.0,1.78,75.25,35.03
robot1,0.1,1.225,1.63,89.3,44.22
robot2,0.1,1.225,1.7,82.29,35.08
robot1,0.1,1.45,1.63,88.71,41.22
robot2,0.1,1.45,,,
robot1,0.1,1.6749999999999998,1.61,91.17,43.12
robot2,0.1,1.6749999999999998,1.81,84.77,33.58
robot1,0.1,1.9,1.58,93.01,45.89
robot2,0.1,1.9,1.83,80.58,36.35
robot1,0.3249999999999999,0.1,,,
robot2,0.3249999999999999,0.1,2.94,33.61,36.9
robot1,0.3249999999999999,0.3249999999999999,2.02,76.0,43.27
robot2,0.3249999999999999,0.3249999999999999,2.15,62.77,34.0
robot1,0.3249999999999999,0.5499999999999999,1.83,86.03,42.97
robot2,0.3249999999999999,0.5499999999999999,2.38,62.5,33.91
robot1,0.3249999999999999,0.7749999999999999,1.73,86.07,40.18
robot2,0.3249999999999999,0.7749999999999999,1.77,80.11,31.23
robot1,0.3249999999999999,1.0,1.71,87.33,41.04
robot2,0.3249999999999999,1.0,1.76,82.51,31.87
robot1,0.3249999999999999,1.225,1.67,87.7,41.32
robot2,0.3249999999999999,1.225,1.73,81.03,32.05
robot1,0.3249999999999999,1.45,1.62,91.78,44.35
robot2,0.3249999999999999,1.45,1.69,78.43,35.13
robot1,0.3249999999999999,1.6749999999999998,1.61,93.96,42.43
robot2,0.3249999999999999,1.6749999999999998,1.84,82.81,32.98
robot1,0.3249999999999999,1.9,1.58,95.29,44.95
robot2,0.3249999999999999,1.9,1.62,81.48,35.47
robot1,0.5499999999999999,0.1,,,
robot2,0.5499999999999999,0.1,3.46,18.37,34.13
robot1,0.5499999999999999,0.3249999999999999,2.01,81.5,40.33
robot2,0.5499999999999999,0.3249999999999999,2.14,63.83,30.83
robot1,0.5499999999999999,0.5499999999999999,1.79,86.53,42.56
robot2,0.5499999999999999,0.5499999999999999,1.88,77.17,33.4
robot1,0.5499999999999999,0.7749999999999999,1.7,89.2,40.32
robot2,0.5499999999999999,0.7749999999999999,1.67,89.47,31.25
robot1,0.5499999999999999,1.0,1.66,89.11,40.37
robot2,0.5499999999999999,1.0,1.74,86.4,31.21
robot1,0.5499999999999999,1.225,1.64,91.51,43.57
robot2,0.5499999999999999,1.225,1.71,81.05,34.45
robot1,0.5499999999999999,1.45,1.62,93.03,44.24
robot2,0.5499999999999999,1.45,1.69,82.86,34.98
robot1,0.5499999999999999,1.6749999999999998,1.62,93.05,44.3
robot2,0.5499999999999999,1.6749999999999998,1.92,85.48,35.04
robot1,0.5499999999999999,1.9,1.61,94.97,42.41
robot2,0.5499999999999999,1.9,1.79,88.16,32.85
robot1,0.7749999999999999,0.1,,,
robot2,0.7749999999999999,0.1,3.39,18.52,33.65
robot1,0.7749999999999999,0.3249999999999999,2.04,77.97,40.38
robot2,0.7749999999999999,0.3249999999999999,2.26,46.24,30.92
robot1,0.7749999999999999,0.5499999999999999,1.77,87.21,39.76
robot2,0.7749999999999999,0.5499999999999999,1.96,75.27,30.41
robot1,0.7749999999999999,0.7749999999999999,1.7,89.4,40.22
robot2,0.7749999999999999,0.7749999999999999,1.75,85.84,31.56
robot1,0.7749999999999999,1.0,1.65,90.99,40.05
robot2,0.7749999999999999,1.0,1.92,79.12,31.02
robot1,0.7749999999999999,1.225,1.63,92.31,43.42
robot2,0.7749999999999999,1.225,1.71,85.87,34.42
robot1,0.7749999999999999,1.45,1.61,94.28,42.18
robot2,0.7749999999999999,1.45,2.35,60.0,15.0
robot1,0.7749999999999999,1.6749999999999998,1.61,94.37,41.58
